skill_rating,assists.defensiveAssists,assists.healingDone,assists.offensiveAssists,average.allDamageDoneAvgPer10Min,average.barrierDamageDoneAvgPer10Min,average.deathsAvgPer10Min,average.eliminationsAvgPer10Min,average.finalBlowsAvgPer10Min,average.healingDoneAvgPer10Min,average.heroDamageDoneAvgPer10Min,average.objectiveKillsAvgPer10Min,average.objectiveTimeAvgPer10Min,average.soloKillsAvgPer10Min,average.timeSpentOnFireAvgPer10Min,best.allDamageDoneMostInGame,best.barrierDamageDoneMostInGame,best.defensiveAssistsMostInGame,best.eliminationsMostInGame,best.environmentalKillsMostInGame,best.finalBlowsMostInGame,best.healingDoneMostInGame,best.heroDamageDoneMostInGame,best.killsStreakBest,best.meleeFinalBlowsMostInGame,best.multikillsBest,best.objectiveKillsMostInGame,best.objectiveTimeMostInGame,best.offensiveAssistsMostInGame,best.soloKillsMostInGame,best.teleporterPadsDestroyedMostInGame,best.timeSpentOnFireMostInGame,best.turretsDestroyedMostInGame,combat.barrierDamageDone,combat.damageDone,combat.deaths,combat.eliminations,combat.environmentalKills,combat.finalBlows,combat.heroDamageDone,combat.meleeFinalBlows,combat.multikills,combat.objectiveKills,combat.objectiveTime,combat.soloKills,combat.timeSpentOnFire,game.gamesLost,game.gamesPlayed,game.gamesTied,game.gamesWon,game.timePlayed,matchAwards.cards,matchAwards.medals,matchAwards.medalsBronze,matchAwards.medalsGold,matchAwards.medalsSilver,miscellaneous.teleporterPadsDestroyed,miscellaneous.turretsDestroyed,assists.reconAssists,best.reconAssistsMostInGame,top_hero,games_played,rank,top_hero_type
2127,2,1075,4,6325,2049,10.77,15.25,7.18,965,4146,4.49,29,2.69,25,4091,1403,2,12,0,6,600,2544,12,0,3,4,30,4,6,0,28,0,2284,4622,12,17,0,8,4622,0,1,5,32,3,28,1,2,0,1,669,0,6,3,2,1,0,0,0,0,soldier76,129,40216,damage
1797,15,23788,3,3722,883,7.15,3.4,0.68,8100,2708,2.38,52,0,0,5599,997,10,4,0,1,8697,4634,4,0,0,3,66,2,1,0,0,1,2593,7953,21,10,0,2,7953,0,0,7,152,0,0,4,4,0,0,1762,1,8,2,5,1,0,1,0,0,mercy,96,46177,support
2998,250,108465,198,8644,2912,7.27,15.54,5.4,2818,5429,6.99,65,0.81,27,23065,9020,43,41,0,17,14259,14315,41,2,3,22,220,23,17,1,151,13,112086,208998,280,598,0,208,208998,4,3,269,2485,31,1057,15,32,0,17,23096,7,76,33,17,26,1,23,2,2,ana,53,11242,support
2925,17,21661,3,11539,3096,7.63,17.21,10.83,1687,8159,5.84,54,2.57,61,19939,7945,17,35,1,20,7558,13813,35,0,5,15,138,2,20,1,177,3,39749,104755,98,221,1,139,104755,0,6,75,697,33,786,6,11,0,5,7704,5,38,10,17,11,1,8,0,0,reaper,129,13134,damage
1965,1,10491,56,8611,2635,7.72,14.99,6.05,675,5589,7.46,133,0.51,36,19596,9437,1,35,1,13,3194,9820,35,1,4,16,349,11,13,0,150,2,40958,86885,120,233,2,94,86885,1,3,116,2072,8,555,6,15,1,8,9328,4,38,18,13,7,0,5,0,0,reinhardt,26,43849,tank
3124,65,31307,21,332,294,6.87,0.98,0,10235,38.19,0.33,62,0,0,995,898,34,2,0,0,18256,97,2,0,0,1,115,16,0,0,0,0,898,117,21,3,0,0,117,0,0,1,191,0,0,1,2,0,1,1835,2,2,0,2,0,0,0,0,0,mercy,78,7712,support
2693,0,0,234,14307,6361,6.56,19.68,6.67,0,7361,11.96,112,0.5,105,30084,16408,0,45,1,13,0,14290,45,0,4,31,311,27,13,1,315,14,114395,132373,118,354,2,120,132373,0,4,215,2019,9,1895,10,18,0,8,10790,12,59,10,27,22,1,39,0,0,orisa,87,20557,tank
2368,668,337618,623,9319,2515,7.19,17.85,8.45,2481,6358,7.89,59,1.66,75,40375,19998,41,49,4,33,16816,21571,49,2,4,30,316,24,33,2,570,9,342282,865107,979,2429,10,1150,865107,18,18,1074,8085,226,10185,47,108,2,59,81642,27,277,90,102,85,2,116,10,5,ana,114,33117,support
3303,269,135354,548,12281,3497,6.84,20.92,10.3,858,8391,6.61,38,2.71,70,33463,14644,32,59,3,31,15524,20745,59,2,4,20,181,23,31,1,530,10,551570,1323315,1079,3300,11,1625,1323315,21,35,1043,5928,427,11044,50,129,4,75,94627,41,313,106,104,103,2,97,11,7,sombra,99,5068,damage
4416,1095,498231,1326,9923,4517,7.24,15.4,4.91,3446,4961,7.41,93,0.68,66,35899,23342,43,45,3,25,18233,14881,45,3,4,36,413,33,25,2,418,14,653098,717183,1047,2227,28,710,717183,41,21,1072,13416,98,9510,51,123,1,71,86746,60,324,78,146,100,6,129,8,6,orisa,68,10,tank
2836,7,2518,1,11002,1711,6.97,24.35,14.8,270,8871,9.12,81,4.93,166,21684,4399,7,50,1,42,2023,16806,50,2,3,20,209,4,42,0,555,8,15951,82711,65,227,1,138,82711,6,3,85,754,46,1545,4,8,0,4,5594,4,29,7,16,6,0,14,0,0,genji,62,15676,damage
2747,0,0,0,10816,3934,8.92,16.39,5.3,0,6296,6.99,108,0.48,38,18874,6733,0,28,0,10,0,9712,28,1,0,12,183,0,10,0,81,0,16325,26122,37,68,0,22,26122,1,0,29,447,2,159,3,3,0,0,2489,0,12,4,3,5,0,0,0,0,dVa,25,18633,tank
2507,0,31107,56,10006,3761,7.23,20.13,8.92,754,6053,7.06,113,1.38,47,24234,11121,0,55,0,25,3567,14433,55,3,4,23,384,9,25,2,309,6,155094,249589,298,830,0,368,249589,24,6,291,4649,57,1944,16,33,0,17,24740,9,95,39,29,27,3,18,0,0,dVa,77,28128,tank
2332,48,43864,92,10348,3941,7.03,18.89,7.81,2283,6071,9.42,89,1.3,44,21089,9556,12,38,1,29,7469,10702,38,1,3,18,222,19,29,2,145,9,75732,116660,135,363,5,150,116660,4,1,181,1702,25,852,5,17,0,12,11530,3,44,20,13,11,2,30,0,0,roadhog,17,34348,tank
2858,418,206195,152,8095,2708,7.69,15.67,5.48,4250,5154,8.16,89,0.78,49,26442,11053,72,35,1,15,21252,15303,35,0,5,25,321,25,15,1,432,8,131372,250069,373,760,1,266,250069,0,5,396,4298,38,2367,23,43,0,20,29109,22,117,20,67,30,2,31,0,0,moira,100,15024,support
2444,185,91693,25,1362,460,8.24,3.97,1.02,9330,888,2.95,98,0.1,45,3007,1438,43,14,0,5,18351,2815,14,0,0,12,273,9,5,0,241,1,4518,8728,81,39,0,10,8728,0,0,29,964,1,438,7,8,0,1,5897,1,13,3,3,7,0,2,0,0,baptiste,18,30490,support
2522,193,87185,15,4638,835,6.4,15.26,3.67,7435,3648,8.44,78,0.6,52,10760,3722,42,47,0,12,14752,8832,47,0,3,25,153,8,12,0,200,3,9793,42777,75,179,0,43,42777,0,1,99,910,7,612,6,9,0,3,7036,5,29,10,10,9,0,4,0,0,moira,30,27280,support
2040,112,62249,40,7873,2758,8.33,15.51,6.22,3991,4961,8.21,76,1.22,62,18222,7553,25,39,0,19,16799,12798,39,0,0,19,291,16,19,0,243,2,43023,77381,130,242,0,97,77381,0,0,128,1187,19,966,8,15,0,7,9359,4,40,13,11,16,0,5,0,0,lucio,106,42211,support
3521,200,66488,52,8907,2124,7.13,18.99,8.4,2738,6644,6.75,60,1.69,70,17679,5957,32,40,1,24,11711,12299,40,3,3,16,228,16,24,0,316,2,51572,161308,173,461,1,204,161308,12,4,164,1460,41,1689,8,19,0,11,14568,5,45,12,16,17,0,8,5,3,genji,19,2923,damage
